yyyy,Index,D12,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,news,vix,diffdp,diffdy,diffde,difflty,diffbm,difftbl
1947,15.3,0.84,1.61,0.725325679,0.0095,0.0286,0.0352,0.0243,0.077722662,0.025921595,0.004858,0.088372093,0.239629866,-0.026274662,-0.023363835,0.01933852,0.004760925,0.034612683,0.049090889,-0.006499786,NaN,NaN,0.1681369,0.2944528,-0.249828,0.0031,0.03289,0.0057
1948,15.2,0.93,2.29,0.840947547,0.0116,0.0279,0.0353,0.0237,0.053876203,0.015014554,0.010138,0.02991453,0.157140449,0.033850148,0.041358787,0.02209981,0.00163301,0.034894678,0.052581722,-0.008405079,NaN,NaN,0.1083401,0.1017827,-0.250535,-0.0006,0.1156219,0.0021
1949,16.76,1.14,2.32,0.796429284,0.011,0.0258,0.0331,0.0209,0.05073565,0.027175585,0.011474,-0.020746888,0.191869113,0.06439053,0.033087624,0.012305916,0.004252018,0.029348021,0.180574489,0.097705313,NaN,NaN,0.1058993,0.2101564,0.190584,-0.0028,-0.04452,-0.0006
1950,20.41,1.47,2.84,0.722538442,0.0134,0.0267,0.032,0.0224,0.003779413,0.031358256,0.011726,0.059322034,0.227022781,0.00050483,0.021151812,0.021461309,0.005662515,0.034444845,0.329458209,0.230298829,NaN,NaN,0.0572,0.1565345,0.051997,0.0015,-0.07389,0.0024
1951,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,0.003907129,0.036150788,0.014629,0.06,0.264823666,-0.039421605,-0.02690309,0.01218224,0.004146893,0.032641895,0.234250517,0.160197552,NaN,NaN,-0.194072,-0.2387026,0.110133,0.0045,-0.001222,0.0039
1952,26.57,1.41,2.4,0.694073313,0.0209,0.0297,0.0351,0.0279,-0.000655606,0.026534716,0.016931,0.00754717,0.202497115,0.011693102,0.035209224,0.006590011,0.003445919,0.032668301,0.189422478,0.12279706,NaN,NaN,-0.1113585,-0.1523993,0.016529,0.001,-0.02724,0.0036
1953,24.81,1.45,2.51,0.759700961,0.016,0.0313,0.0374,0.0274,-0.019503226,0.024822272,0.02015,0.007490637,0.203978422,0.036258194,0.034114425,0.008279479,0.00279331,0.034003722,-0.017075142,-0.073017005,NaN,NaN,0.09651,-0.08338,-0.01684,-0.0005,0.06563,-0.0049
1954,35.98,1.54,2.77,0.604119785,0.0115,0.029,0.0345,0.0272,0.007086196,0.026992812,0.010742,-0.007434944,0.213197436,0.071776468,0.053858485,0.008389814,0.002845475,0.032552793,0.526483051,0.449936781,NaN,NaN,-0.3114976,0.1287548,-0.038346,-0.0002,-0.1555812,-0.0045
1955,45.48,1.64,3.62,0.50982801,0.0254,0.0315,0.0362,0.0295,-0.009458474,0.02524455,0.014855,0.003745318,0.275390625,-0.012834489,0.00479737,0.021620209,0.000243799,0.036592926,0.312982489,0.257907838,NaN,NaN,-0.1713956,-0.3088026,-0.204713,0.0023,-0.09429,0.0139
1956,46.67,1.74,3.41,0.544176827,0.0321,0.0375,0.0437,0.0345,-0.017590444,0.026149367,0.02554,0.029850746,0.268488893,-0.055942165,-0.068146268,0.013889924,0.000969841,0.035562063,0.064274332,0.02180892,NaN,NaN,0.03336,-0.1751206,0.118951,0.005,0.03435,0.0067
1957,39.99,1.79,3.37,0.653675779,0.0304,0.0381,0.0503,0.0323,-0.012732362,0.034873147,0.03318,0.028985507,0.227001009,0.074664669,0.087135458,0.017546851,0.000667927,0.034133663,-0.108147815,-0.1470137,NaN,NaN,0.1828026,0.002502,0.04013,-0.0022,0.109499,-0.0017
1958,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.010228356,0.023686832,0.019151,0.017605634,0.164835165,-0.061062035,-0.022169912,0.008489224,0.001585812,0.030798116,0.437416855,0.382752522,NaN,NaN,-0.3451145,0.1318723,0.131056,0.0059,-0.1418965,-0.0027
1959,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.007802547,0.022856304,0.032434,0.017301038,0.262439725,-0.022663557,-0.009667896,0.008449291,0.000975372,0.03255196,0.124008285,0.0880547,NaN,NaN,-0.03667,-0.2778145,-0.114873,0.0065,-0.054,0.0172
1960,58.11,1.95,3.27,0.550422965,0.0225,0.0435,0.051,0.038,0.013061797,0.022761361,0.032224,0.013605442,0.204155998,0.137933943,0.090664916,0.010160586,-0.001362514,0.032435687,0.005900758,-0.028461076,NaN,NaN,0.09369,-0.01785,0.099553,-0.0067,0.09264,-0.0224
1961,71.55,2.02,3.19,0.505922258,0.026,0.0442,0.051,0.0415,0.015326448,0.022324288,0.023326,0.006711409,0.284412033,0.009678427,0.048183189,0.006487873,-0.002210744,0.033051521,0.271070196,0.233555473,NaN,NaN,-0.1727906,0.06544,0.060037,0.0035,-0.0445,0.0035
1962,63.1,2.13,3.67,0.591627051,0.0287,0.0424,0.0492,0.0395,0.009824232,0.01996807,0.027351,0.013333333,0.162167212,0.068829489,0.079450363,0.02854498,-0.002796575,0.03373511,-0.087481619,-0.118394066,NaN,NaN,0.1787002,-0.1550343,-0.087146,-0.002,0.0857,0.0027
1963,75.02,2.28,4.02,0.525591454,0.0352,0.0435,0.0485,0.0417,0.00959218,0.00895473,0.030671,0.016447368,0.111474338,0.012143645,0.021948748,0.007412633,-0.001496869,0.035557103,0.226863256,0.187766724,NaN,NaN,-0.1049805,0.1937292,-0.023037,0.0022,-0.06604,0.0065
1964,84.75,2.5,4.55,0.4872273,0.0384,0.0444,0.0481,0.0423,-0.003204091,0.023095369,0.035642,0.009708738,0.221465931,0.035117029,0.047723132,0.002794589,-0.002380573,0.037453422,0.166792769,0.131851668,NaN,NaN,-0.02984,-0.08092,-0.03173,0.0006,-0.03836,0.0032
1965,92.43,2.72,5.19,0.430637806,0.0438,0.0468,0.0502,0.045,-0.008806423,0.020837519,0.039291,0.019230769,0.142071036,0.00701937,-0.004567939,0.004589193,-0.000812888,0.042050671,0.126104467,0.092224792,NaN,NaN,-0.002405,-0.03761,-0.047265,0.0027,-0.05659,0.0054
1966,80.33,2.87,5.55,0.576945106,0.0496,0.0539,0.0618,0.0455,-0.016586516,0.01720763,0.047937,0.034591195,0.139047198,0.036450083,0.00195292,0.01393529,-4.99E-05,0.042055352,-0.101955821,-0.132075553,NaN,NaN,0.1939886,-0.03307,-0.013384,0.0005,0.1463073,0.0058
1967,96.47,2.92,5.33,0.525792445,0.0497,0.0619,0.0693,0.0556,-0.029633866,0.01436111,0.043643,0.030395137,0.114686668,-0.091765265,-0.049505868,0.00698939,0.002952225,0.039524954,0.239615227,0.201047817,NaN,NaN,-0.1658173,0.15758,0.057718,0.0101,-0.05115,0.0001
1968,103.86,3.07,5.76,0.504900662,0.0596,0.0645,0.0723,0.0598,-0.032202602,0.031961447,0.053152,0.04719764,0.208640626,-0.002573778,0.025739132,0.007399454,0.002347561,0.03952227,0.108266274,0.074331613,NaN,NaN,-0.02372,-0.132995,-0.027492,0.0042,-0.02089,0.0099
1969,92.06,3.16,5.78,0.651082013,0.0782,0.0772,0.0865,0.0687,-0.031939146,0.034273783,0.065314,0.061971831,0.313951314,-0.050736015,-0.080904314,0.01001543,0.000822252,0.039302975,-0.083186742,-0.113055244,NaN,NaN,0.1494978,-0.04492,0.025428,0.0089,0.1461814,0.0186
